Starting DroneDriver
vel_x, Err, -22.000000, P, -0.017600, I, 0.000000, D, 0.000000, PID, -0.017600
vel_y, Err, -31.000000, P, -0.027125, I, 0.000000, D, -0.000625, PID, -0.027750
vel_x, Err, 8.000000, P, 0.006400, I, 0.000000, D, -0.000500, PID, 0.005900
vel_y, Err, -33.000000, P, -0.028875, I, 0.000000, D, -0.001250, PID, -0.030125
vel_x, Err, 8.000000, P, 0.006400, I, 0.000000, D, 0.000000, PID, 0.006400
vel_y, Err, -34.000000, P, -0.029750, I, 0.000000, D, -0.000625, PID, -0.030375
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, -0.000500, PID, 0.005100
vel_y, Err, -35.000000, P, -0.030625, I, 0.000000, D, -0.000625, PID, -0.031250
vel_x, Err, 6.000000, P, 0.004800, I, 0.000000, D, -0.000500, PID, 0.004300
vel_y, Err, -36.000000, P, -0.031500, I, 0.000000, D, -0.000625, PID, -0.032125
vel_x, Err, 6.000000, P, 0.004800, I, 0.000000, D, 0.000000, PID, 0.004800
vel_y, Err, -37.000000, P, -0.032375, I, 0.000000, D, -0.000625, PID, -0.033000
vel_x, Err, 6.000000, P, 0.004800, I, 0.000000, D, 0.000000, PID, 0.004800
vel_y, Err, -37.000000, P, -0.032375, I, 0.000000, D, 0.000000, PID, -0.032375
vel_x, Err, 6.000000, P, 0.004800, I, 0.000000, D, 0.000000, PID, 0.004800
vel_y, Err, -38.000000, P, -0.033250, I, 0.000000, D, -0.000625, PID, -0.033875
vel_x, Err, 6.000000, P, 0.004800, I, 0.000000, D, 0.000000, PID, 0.004800
vel_y, Err, -38.000000, P, -0.033250, I, 0.000000, D, 0.000000, PID, -0.033250
vel_x, Err, 6.000000, P, 0.004800, I, 0.000000, D, 0.000000, PID, 0.004800
vel_y, Err, -40.000000, P, -0.035000, I, 0.000000, D, -0.001250, PID, -0.036250
vel_x, Err, 5.000000, P, 0.004000, I, 0.000000, D, -0.000500, PID, 0.003500
vel_y, Err, -40.000000, P, -0.035000, I, 0.000000, D, 0.000000, PID, -0.035000
vel_x, Err, 5.000000, P, 0.004000, I, 0.000000, D, 0.000000, PID, 0.004000
vel_y, Err, -40.000000, P, -0.035000, I, 0.000000, D, 0.000000, PID, -0.035000
vel_x, Err, 6.000000, P, 0.004800, I, 0.000000, D, 0.000500, PID, 0.005300
vel_y, Err, -38.000000, P, -0.033250, I, 0.000000, D, 0.001250, PID, -0.032000
vel_x, Err, 6.000000, P, 0.004800, I, 0.000000, D, 0.000000, PID, 0.004800
vel_y, Err, -37.000000, P, -0.032375, I, 0.000000, D, 0.000625, PID, -0.031750
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, 0.000500, PID, 0.006100
vel_y, Err, -36.000000, P, -0.031500, I, 0.000000, D, 0.000625, PID, -0.030875
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, 0.000000, PID, 0.005600
vel_y, Err, -34.000000, P, -0.029750, I, 0.000000, D, 0.001250, PID, -0.028500
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, 0.000000, PID, 0.005600
vel_y, Err, -33.000000, P, -0.028875, I, 0.000000, D, 0.000625, PID, -0.028250
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, 0.000000, PID, 0.005600
vel_y, Err, -32.000000, P, -0.028000, I, 0.000000, D, 0.000625, PID, -0.027375
vel_x, Err, 8.000000, P, 0.006400, I, 0.000000, D, 0.000500, PID, 0.006900
vel_y, Err, -29.000000, P, -0.025375, I, 0.000000, D, 0.001875, PID, -0.023500
vel_x, Err, 8.000000, P, 0.006400, I, 0.000000, D, 0.000000, PID, 0.006400
vel_y, Err, -28.000000, P, -0.024500, I, 0.000000, D, 0.000625, PID, -0.023875
vel_x, Err, 8.000000, P, 0.006400, I, 0.000000, D, 0.000000, PID, 0.006400
vel_y, Err, -26.000000, P, -0.022750, I, 0.000000, D, 0.001250, PID, -0.021500
vel_x, Err, 8.000000, P, 0.006400, I, 0.000000, D, 0.000000, PID, 0.006400
vel_y, Err, -23.000000, P, -0.020125, I, 0.000000, D, 0.001875, PID, -0.018250
vel_x, Err, 8.000000, P, 0.006400, I, 0.000000, D, 0.000000, PID, 0.006400
vel_y, Err, -21.000000, P, -0.018375, I, 0.000000, D, 0.001250, PID, -0.017125
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, -0.000500, PID, 0.005100
vel_y, Err, -17.000000, P, -0.014875, I, 0.000000, D, 0.002500, PID, -0.012375
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, 0.000000, PID, 0.005600
vel_y, Err, -14.000000, P, -0.012250, I, 0.000000, D, 0.001875, PID, -0.010375
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, 0.000000, PID, 0.005600
vel_y, Err, -9.000000, P, -0.007875, I, 0.000000, D, 0.003125, PID, -0.004750
vel_x, Err, 8.000000, P, 0.006400, I, 0.000000, D, 0.000500, PID, 0.006900
vel_y, Err, -5.000000, P, -0.004375, I, 0.000000, D, 0.002500, PID, -0.001875
vel_x, Err, 12.000000, P, 0.009600, I, 0.000000, D, 0.002000, PID, 0.011600
vel_y, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, 13.000000, P, 0.010400, I, 0.000000, D, 0.000500, PID, 0.010900
vel_y, Err, 2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, 15.000000, P, 0.012000, I, 0.000000, D, 0.001000, PID, 0.013000
vel_y, Err, 5.000000, P, 0.004375, I, 0.000000, D, 0.006250, PID, 0.010625
vel_x, Err, 16.000000, P, 0.012800, I, 0.000000, D, 0.000500, PID, 0.013300
vel_y, Err, 7.000000, P, 0.006125, I, 0.000000, D, 0.001250, PID, 0.007375
vel_x, Err, 18.000000, P, 0.014400, I, 0.000000, D, 0.001000, PID, 0.015400
vel_y, Err, 8.000000, P, 0.007000, I, 0.000000, D, 0.000625, PID, 0.007625
vel_x, Err, 20.000000, P, 0.016000, I, 0.000000, D, 0.001000, PID, 0.017000
vel_y, Err, 10.000000, P, 0.008750, I, 0.000000, D, 0.001250, PID, 0.010000
vel_x, Err, 22.000000, P, 0.017600, I, 0.000000, D, 0.001000, PID, 0.018600
vel_y, Err, 12.000000, P, 0.010500, I, 0.000000, D, 0.001250, PID, 0.011750
vel_x, Err, 24.000000, P, 0.019200, I, 0.000000, D, 0.001000, PID, 0.020200
vel_y, Err, 14.000000, P, 0.012250, I, 0.000000, D, 0.001250, PID, 0.013500
vel_x, Err, 26.000000, P, 0.020800, I, 0.000000, D, 0.001000, PID, 0.021800
vel_y, Err, 16.000000, P, 0.014000, I, 0.000000, D, 0.001250, PID, 0.015250
vel_x, Err, 28.000000, P, 0.022400, I, 0.000000, D, 0.001000, PID, 0.023400
vel_y, Err, 17.000000, P, 0.014875, I, 0.000000, D, 0.000625, PID, 0.015500
vel_x, Err, 30.000000, P, 0.024000, I, 0.000000, D, 0.001000, PID, 0.025000
vel_y, Err, 19.000000, P, 0.016625, I, 0.000000, D, 0.001250, PID, 0.017875
vel_x, Err, 33.000000, P, 0.026400, I, 0.000000, D, 0.001500, PID, 0.027900
vel_y, Err, 20.000000, P, 0.017500, I, 0.000000, D, 0.000625, PID, 0.018125
vel_x, Err, 35.000000, P, 0.028000, I, 0.000000, D, 0.001000, PID, 0.029000
vel_y, Err, 21.000000, P, 0.018375, I, 0.000000, D, 0.000625, PID, 0.019000
vel_x, Err, 39.000000, P, 0.031200, I, 0.000000, D, 0.002000, PID, 0.033200
vel_y, Err, 24.000000, P, 0.021000, I, 0.000000, D, 0.001875, PID, 0.022875
vel_x, Err, 41.000000, P, 0.032800, I, 0.000000, D, 0.001000, PID, 0.033800
vel_y, Err, 26.000000, P, 0.022750, I, 0.000000, D, 0.001250, PID, 0.024000
vel_x, Err, 42.000000, P, 0.033600, I, 0.000000, D, 0.000500, PID, 0.034100
vel_y, Err, 27.000000, P, 0.023625, I, 0.000000, D, 0.000625, PID, 0.024250
vel_x, Err, 43.000000, P, 0.034400, I, 0.000000, D, 0.000500, PID, 0.034900
vel_y, Err, 29.000000, P, 0.025375, I, 0.000000, D, 0.001250, PID, 0.026625
vel_x, Err, 46.000000, P, 0.036800, I, 0.000000, D, 0.001500, PID, 0.038300
vel_y, Err, 32.000000, P, 0.028000, I, 0.000000, D, 0.001875, PID, 0.029875
vel_x, Err, 47.000000, P, 0.037600, I, 0.000000, D, 0.000500, PID, 0.038100
vel_y, Err, 35.000000, P, 0.030625, I, 0.000000, D, 0.001875, PID, 0.032500
vel_x, Err, 48.000000, P, 0.038400, I, 0.000000, D, 0.000500, PID, 0.038900
vel_y, Err, 36.000000, P, 0.031500, I, 0.000000, D, 0.000625, PID, 0.032125
vel_x, Err, 50.000000, P, 0.040000, I, 0.000000, D, 0.001000, PID, 0.041000
vel_y, Err, 38.000000, P, 0.033250, I, 0.000000, D, 0.001250, PID, 0.034500
vel_x, Err, 51.000000, P, 0.040800, I, 0.000000, D, 0.000500, PID, 0.041300
vel_y, Err, 39.000000, P, 0.034125, I, 0.000000, D, 0.000625, PID, 0.034750
vel_x, Err, 52.000000, P, 0.041600, I, 0.000000, D, 0.000500, PID, 0.042100
vel_y, Err, 40.000000, P, 0.035000, I, 0.000000, D, 0.000625, PID, 0.035625
vel_x, Err, 53.000000, P, 0.042400, I, 0.000000, D, 0.000500, PID, 0.042900
vel_y, Err, 42.000000, P, 0.036750, I, 0.000000, D, 0.001250, PID, 0.038000
vel_x, Err, 53.000000, P, 0.042400, I, 0.000000, D, 0.000000, PID, 0.042400
vel_y, Err, 43.000000, P, 0.037625, I, 0.000000, D, 0.000625, PID, 0.038250
vel_x, Err, 53.000000, P, 0.042400, I, 0.000000, D, 0.000000, PID, 0.042400
vel_y, Err, 44.000000, P, 0.038500, I, 0.000000, D, 0.000625, PID, 0.039125
vel_x, Err, 52.000000, P, 0.041600, I, 0.000000, D, -0.000500, PID, 0.041100
vel_y, Err, 45.000000, P, 0.039375, I, 0.000000, D, 0.000625, PID, 0.040000
vel_x, Err, 52.000000, P, 0.041600, I, 0.000000, D, 0.000000, PID, 0.041600
vel_y, Err, 46.000000, P, 0.040250, I, 0.000000, D, 0.000625, PID, 0.040875
vel_x, Err, 52.000000, P, 0.041600, I, 0.000000, D, 0.000000, PID, 0.041600
vel_y, Err, 48.000000, P, 0.042000, I, 0.000000, D, 0.001250, PID, 0.043250
vel_x, Err, 53.000000, P, 0.042400, I, 0.000000, D, 0.000500, PID, 0.042900
vel_y, Err, 50.000000, P, 0.043750, I, 0.000000, D, 0.001250, PID, 0.045000
vel_x, Err, 52.000000, P, 0.041600, I, 0.000000, D, -0.000500, PID, 0.041100
vel_y, Err, 52.000000, P, 0.045500, I, 0.000000, D, 0.001250, PID, 0.046750
vel_x, Err, 52.000000, P, 0.041600, I, 0.000000, D, 0.000000, PID, 0.041600
vel_y, Err, 54.000000, P, 0.047250, I, 0.000000, D, 0.001250, PID, 0.048500
vel_x, Err, 50.000000, P, 0.040000, I, 0.000000, D, -0.001000, PID, 0.039000
vel_y, Err, 55.000000, P, 0.048125, I, 0.000000, D, 0.000625, PID, 0.048750
vel_x, Err, 49.000000, P, 0.039200, I, 0.000000, D, -0.000500, PID, 0.038700
vel_y, Err, 56.000000, P, 0.049000, I, 0.000000, D, 0.000625, PID, 0.049625
vel_x, Err, 47.000000, P, 0.037600, I, 0.000000, D, -0.001000, PID, 0.036600
vel_y, Err, 57.000000, P, 0.049875, I, 0.000000, D, 0.000625, PID, 0.050500
vel_x, Err, 46.000000, P, 0.036800, I, 0.000000, D, -0.000500, PID, 0.036300
vel_y, Err, 58.000000, P, 0.050750, I, 0.000000, D, 0.000625, PID, 0.051375
vel_x, Err, 45.000000, P, 0.036000, I, 0.000000, D, -0.000500, PID, 0.035500
vel_y, Err, 59.000000, P, 0.051625, I, 0.000000, D, 0.000625, PID, 0.052250
vel_x, Err, 40.000000, P, 0.032000, I, 0.000000, D, -0.002500, PID, 0.029500
vel_y, Err, 61.000000, P, 0.053375, I, 0.000000, D, 0.001250, PID, 0.054625
vel_x, Err, 38.000000, P, 0.030400, I, 0.000000, D, -0.001000, PID, 0.029400
vel_y, Err, 61.000000, P, 0.053375, I, 0.000000, D, 0.000000, PID, 0.053375
vel_x, Err, 37.000000, P, 0.029600, I, 0.000000, D, -0.000500, PID, 0.029100
vel_y, Err, 61.000000, P, 0.053375, I, 0.000000, D, 0.000000, PID, 0.053375
vel_x, Err, 36.000000, P, 0.028800, I, 0.000000, D, -0.000500, PID, 0.028300
vel_y, Err, 62.000000, P, 0.054250, I, 0.000000, D, 0.000625, PID, 0.054875
vel_x, Err, 34.000000, P, 0.027200, I, 0.000000, D, -0.001000, PID, 0.026200
vel_y, Err, 63.000000, P, 0.055125, I, 0.000000, D, 0.000625, PID, 0.055750
vel_x, Err, 31.000000, P, 0.024800, I, 0.000000, D, -0.001500, PID, 0.023300
vel_y, Err, 63.000000, P, 0.055125, I, 0.000000, D, 0.000000, PID, 0.055125
vel_x, Err, 29.000000, P, 0.023200, I, 0.000000, D, -0.001000, PID, 0.022200
vel_y, Err, 64.000000, P, 0.056000, I, 0.000000, D, 0.000625, PID, 0.056625
vel_x, Err, 24.000000, P, 0.019200, I, 0.000000, D, -0.002500, PID, 0.016700
vel_y, Err, 65.000000, P, 0.056875, I, 0.000000, D, 0.000625, PID, 0.057500
vel_x, Err, 19.000000, P, 0.015200, I, 0.000000, D, -0.002500, PID, 0.012700
vel_y, Err, 67.000000, P, 0.058625, I, 0.000000, D, 0.001250, PID, 0.059875
vel_x, Err, 11.000000, P, 0.008800, I, 0.000000, D, -0.004000, PID, 0.004800
vel_y, Err, 73.000000, P, 0.063875, I, 0.000000, D, 0.003750, PID, 0.062500
vel_x, Err, 11.000000, P, 0.008800, I, 0.000000, D, 0.000000, PID, 0.008800
vel_y, Err, 73.000000, P, 0.063875, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, 11.000000, P, 0.008800, I, 0.000000, D, 0.000000, PID, 0.008800
vel_y, Err, 73.000000, P, 0.063875, I, 0.000000, D, 0.000000, PID, 0.062500
